luminosity_distance,dec,ra,theta_jn,psi,phase,chi_1,chi_2,lambda_1,lambda_2,mass_1_source,mass_2_source,reference_frequency,waveform_approximant,minimum_frequency,redshift,mass_1,mass_2,a_1,cos_tilt_1,a_2,cos_tilt_2,phi_jl,phi_12,tilt_1,tilt_2,chirp_mass,total_mass,symmetric_mass_ratio,mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,comoving_distance,chirp_mass_source,total_mass_source,lambda_tilde,delta_lambda_tilde,geocent_time,network_snr,network_snr_opt,ns_radius,disk_mass,remnant_mass,ejecta_mass
1302.665269341374,-0.944011478519306,1.2727200313410776,2.264145330840717,2.9741450815207005,6.192010929294828,0.316891818351074,0.0383848274664103,0.0,96.35944140294995,21.770442573358583,1.9297784560098716,50.0,TaylorF2,20.0,0.2504392331297122,27.22261551632495,2.413070692643224,0.316891818351074,1.0,0.0383848274664103,1.0,0.0,0.0,0.0,0.0,6.253698495421326,29.63568620896817,0.0747945440462317,0.0886421325385191,2.264145330840717,0,0,0.316891818351074,0,0,0.0383848274664103,0.0,0.0,0.2942145281185752,0.0,0.0,0.0,1041.7661562799842,5.001201441647832,23.700221029368457,2727.095682399325,392.60514986594274,1126259642.413,12.001803663356796,12.820305915825339,13.456068538863379,0.0,0.0,0.0
2430.022208058528,-0.1422946424309307,3.825409552670164,0.6732201734942102,1.0377327315191984,3.768376160862593,0.9652942503484312,-0.0126607738993806,0.0,384.2365354486832,12.922721636348385,1.5675667908264717,50.0,TaylorF2,20.0,0.4287269008918614,18.463040034588232,2.2396248429985057,0.9652942503484312,1.0,0.0126607738993806,-1.0,0.0,0.0,0.0,3.141592653589793,5.089578793056592,20.702664877586734,0.096477487187328,0.1213031461126035,0.6732201734942102,0,0,0.9652942503484312,0,0,-0.0126607738993806,0.0,0.0,0.8594985771541156,0.0,0.0,0.0,1700.8304498636955,3.5623174659058345,14.490288427174857,334.8566810337792,18.422664548244143,1126259642.413,12.003504089372607,10.758878195562382,13.558725765157693,0.24496826384352444,0.30679006146914944,0.07349047915305733
2570.706077481442,-0.5009395818563295,3.629617122055623,0.290972072285779,2.034110582466272,6.039020064945541,0.0100869134679523,-0.0025601645607908,0.0,319.9109976313177,23.31043602431697,1.6143933391076026,50.0,TaylorF2,20.0,0.4495583190605335,33.78983645997701,2.3401572949393383,0.0100869134679523,1.0,0.0025601645607908,-1.0,0.0,0.0,0.0,3.141592653589793,6.718078998382221,36.12999375491635,0.0605752711131989,0.0692562480351504,0.290972072285779,0,0,0.0100869134679523,0,0,-0.0025601645607908,0.0,0.0,0.0092677560634592,0.0,0.0,0.0,1773.4409481276623,4.634569654800949,24.92482936342457,1622.6018500847258,363.9089288858954,1126259642.413,12.005365197363558,10.782353097278644,13.556588911190412,0.0,0.0,0.0
1023.8139056214102,0.8966597957649312,5.0170974440660325,2.183613919846658,1.960499460041768,0.2597341626398699,0.0104295999294297,0.0146672563097463,0.0,274.6975042543442,23.04720930167471,1.6536940223842218,50.0,TaylorF2,20.0,0.2021947910230093,27.707234970090383,1.9880623396561992,0.0104295999294297,1.0,0.0146672563097463,1.0,0.0,0.0,0.0,0.0,5.624402286865868,29.695297309746586,0.0624665945704797,0.0717524625536358,2.183613919846658,0,0,0.0104295999294297,0,0,0.0146672563097463,0.0,0.0,0.0107133056276833,0.0,0.0,0.0,851.6206461432852,4.678445064696858,24.70090332405893,1423.3019209715226,302.86930001475474,1126259642.413,12.007017886786809,11.143468416336253,13.550413758091686,0.0,0.0,0.0
695.3914953280797,0.1402032983725035,2.8410278101399147,1.2291104909990818,1.2915659756790026,0.4558257782787451,0.0312750713010203,-0.0197198259246298,0.0,285.4256278983817,18.68407514605001,1.6437093706448738,50.0,TaylorF2,20.0,0.1423555647443516,21.34385721519186,1.877700546378608,0.0312750713010203,1.0,0.0197198259246298,-1.0,0.0,0.0,0.0,3.141592653589793,4.881589697754758,23.22155776157047,0.0743218548223034,0.0879738150160657,1.2291104909990818,0,0,0.0312750713010203,0,0,-0.0197198259246298,0.0,0.0,0.027151612084103,0.0,0.0,0.0,608.7347218458914,4.273266440337436,20.32778451669488,1624.6742828723663,238.2013912229833,1126259642.413,12.007105483060158,11.475598605637073,13.552114032978533,0.0,0.0,0.0
1026.5683547359788,0.5076987337623293,4.926473374519581,2.5625828868107665,0.8018171012311683,0.3124554590895198,0.0106582887956117,-0.0035680595779546,0.0,1260.9124325231755,26.88938332007232,1.2736948914027952,50.0,TaylorF2,20.0,0.2026819305080486,32.3393754415555,1.5318498308705533,0.0106582887956117,1.0,0.0035680595779546,-1.0,0.0,0.0,0.0,3.141592653589793,5.140466240243785,33.87122527242605,0.043180334933488,0.0473679472765004,2.5625828868107665,0,0,0.0106582887956117,0,0,-0.0035680595779546,0.0,0.0,0.0100148922495855,0.0,0.0,0.0,853.5659536856033,4.27416934589871,28.163078211475117,1444.599176923335,496.0119249688721,1126259642.413,12.014834312108045,11.56914635962435,13.54169295067065,0.0,0.0,0.0
2796.4321768492887,-0.601788936220287,4.0967363166079656,0.4349158241029742,3.1268864958692824,5.969066797235157,0.0100588173046449,-0.0152073801827581,0.0,112.12170942755289,19.835304378364008,1.8898552072737471,50.0,TaylorF2,20.0,0.4824698919142587,29.405241537879714,2.801653444860711,0.0100588173046449,1.0,0.0152073801827581,-1.0,0.0,0.0,0.0,3.141592653589793,7.045530954648307,32.20689498274042,0.0794221153956011,0.0952773484703953,0.4349158241029742,0,0,0.0100588173046449,0,0,-0.0152073801827581,0.0,0.0,0.0078609298874615,0.0,0.0,0.0,1886.333193955254,4.752562593733808,21.725159585637755,2502.524173711864,301.8691505232175,1126259642.413,12.016955531523978,10.497570746368071,13.47706696312444,0.0,0.0,0.0
842.977691502238,-0.9386977558077771,2.614020005656501,1.4061530910340874,3.06388265777342,2.5457923376823066,0.0146601301734951,0.0115961120012166,0.0,80.42173909179436,15.207484875172844,1.9771317385872893,50.0,TaylorF2,20.0,0.1696973056149203,17.788154083669326,2.3126456674712954,0.0146601301734951,1.0,0.0115961120012166,1.0,0.0,0.0,0.0,0.0,5.103890174012232,20.10079975114062,0.101815361118167,0.1300104359672965,1.4061530910340874,0,0,0.0146601301734951,0,0,0.0115961120012166,0.0,0.0,0.0143076074659958,0.0,0.0,0.0,720.6802034817125,4.363428170272711,17.18461661376013,7526.233143400298,155.60494773259592,1126259642.413,12.020134303302765,11.90152763723133,13.424178333500866,0.0,0.0,0.0
1473.8488886000605,0.57486667440256,0.3181007891394034,2.280385675174021,0.9772985247402785,4.326635133590802,0.01,0.0018783689354605,0.0,1059.743092768112,19.53378463544866,1.3142487508088738,50.0,TaylorF2,20.0,0.2790845376530519,24.98536188904714,1.6810352557894694,0.01,1.0,0.0018783689354605,1.0,0.0,0.0,0.0,0.0,4.883875800128183,26.66639714483661,0.0590654858154475,0.0672808047869975,2.280385675174021,0,0,0.01,0,0,0.0018783689354605,0.0,0.0,0.0094880167695751,0.0,0.0,0.0,1152.268556863234,3.8182588064815777,20.848033386257537,2490.9163688233007,581.9397027945554,1126259642.413,12.022637594234746,11.020578754429824,13.545528211169787,0.0,0.0,0.0
905.59426308058,-0.2085981401046927,0.6839669329165876,1.3497899307952834,1.598505835874393,0.9781731729435504,0.0389919523707626,-0.0070977030402892,0.0,268.5056999417546,17.44087455154786,1.6596877669059524,50.0,TaylorF2,20.0,0.1810683675123802,20.59886523458485,1.9602047214398808,0.0389919523707626,1.0,0.0070977030402892,-1.0,0.0,0.0,0.0,3.141592653589793,4.931994664866064,22.55906995602473,0.0793418541279229,0.0951608110018001,1.3497899307952834,0,0,0.0389919523707626,0,0,-0.0070977030402892,0.0,0.0,0.0349871259163744,0.0,0.0,0.0,766.7585415059826,4.17587567369538,19.10056231845381,2644.382654002891,319.84856587225863,1126259642.413,12.027471849096035,9.94720750275648,13.549393090215178,0.0,0.0,0.0
